frame,timestamp,emotion,ear_avg_raw,mar_raw,smile_coeff_raw,mouth_width_raw,brow_dist_raw,mouth_asymmetry_raw,upper_lip_raise_raw,ear_avg_smooth,mar_smooth,smile_coeff_smooth,mouth_width_smooth,brow_dist_smooth,mouth_asymmetry_smooth,upper_lip_raise_smooth
85,1777817772299,Happy,0.31031,0.13871,0.02333,0.4571,0.11633,0.0023,0.05928,0.30825,0.14066,0.02339,0.458,0.11653,0.00204,0.05941
86,1777817772331,Happy,0.31086,0.13854,0.02334,0.45709,0.11634,0.00226,0.05931,0.30903,0.14002,0.02338,0.45773,0.11647,0.00211,0.05938
87,1777817772366,Happy,0.31115,0.13852,0.02333,0.45674,0.11632,0.00227,0.05936,0.30967,0.13957,0.02336,0.45743,0.11643,0.00216,0.05937
88,1777817772400,Happy,0.31148,0.13869,0.02328,0.45668,0.11627,0.00223,0.0593,0.31021,0.13931,0.02334,0.4572,0.11638,0.00218,0.05935
89,1777817772468,Happy,0.3113,0.13927,0.02287,0.45616,0.11628,0.00265,0.05942,0.31054,0.1393,0.0232,0.45689,0.11635,0.00232,0.05937
90,1777817772533,Happy,0.31092,0.13971,0.02248,0.45632,0.11636,0.00308,0.05949,0.31065,0.13942,0.02298,0.45672,0.11635,0.00255,0.05941
91,1777817772599,Happy,0.30971,0.14214,0.02142,0.45564,0.11705,0.00323,0.05982,0.31037,0.14024,0.02251,0.4564,0.11656,0.00275,0.05953
92,1777817772633,Happy,0.30972,0.14385,0.02013,0.45511,0.11745,0.00165,0.05976,0.31017,0.14132,0.0218,0.45601,0.11683,0.00242,0.0596
93,1777817772665,Happy,0.31036,0.1459,0.01987,0.45497,0.11726,0.00133,0.05978,0.31023,0.14269,0.02122,0.4557,0.11696,0.0021,0.05965
94,1777817772700,Happy,0.30853,0.14561,0.02061,0.45475,0.11731,0.00156,0.05964,0.30972,0.14357,0.02104,0.45541,0.11706,0.00193,0.05965
95,1777817772765,Happy,0.30882,0.15228,0.01981,0.45434,0.11724,0.00231,0.05851,0.30945,0.14618,0.02067,0.45509,0.11712,0.00205,0.05931
96,1777817772832,Happy,0.31145,0.15336,0.01943,0.45405,0.11623,0.0017,0.05873,0.31005,0.14834,0.0203,0.45478,0.11685,0.00194,0.05914
97,1777817772866,Happy,0.31279,0.15263,0.0181,0.45354,0.11642,0.00123,0.05931,0.31087,0.14963,0.01964,0.45441,0.11672,0.00173,0.05919
98,1777817772933,Happy,0.3102,0.15017,0.01865,0.4538,0.11729,0.00183,0.05885,0.31067,0.14979,0.01934,0.45422,0.11689,0.00176,0.05909
99,1777817772999,Happy,0.3135,0.14821,0.0177,0.45259,0.11748,0.00207,0.05834,0.31152,0.14932,0.01885,0.45373,0.11707,0.00185,0.05886
100,1777817773032,Happy,0.31467,0.14805,0.01787,0.45259,0.11726,0.00187,0.05831,0.31247,0.14894,0.01855,0.45339,0.11713,0.00186,0.0587
101,1777817773065,Happy,0.31592,0.14845,0.01777,0.45248,0.11703,0.00124,0.05883,0.3135,0.14879,0.01832,0.45312,0.1171,0.00167,0.05874
102,1777817773099,Happy,0.31608,0.14787,0.01751,0.45196,0.11681,0.00029,0.05917,0.31427,0.14851,0.01808,0.45277,0.11701,0.00126,0.05887
103,1777817773133,Happy,0.31532,0.14754,0.0177,0.45153,0.11692,0.00043,0.05922,0.31459,0.14822,0.01796,0.4524,0.11698,0.00101,0.05897
104,1777817773167,Happy,0.31425,0.14782,0.01648,0.45039,0.11672,0.00064,0.05885,0.31449,0.1481,0.01752,0.45179,0.1169,0.0009,0.05894
105,1777817773233,Happy,0.31245,0.15481,0.01348,0.44649,0.11659,0.00581,0.06071,0.31387,0.15012,0.01631,0.4502,0.11681,0.00237,0.05947
106,1777817773299,Happy,0.31428,0.15202,0.00799,0.4344,0.11726,0.00628,0.06144,0.314,0.15069,0.01381,0.44546,0.11694,0.00355,0.06006
107,1777817773333,Happy,0.31963,0.13323,0.00346,0.41301,0.11729,0.00514,0.06998,0.31568,0.14545,0.01071,0.43573,0.11705,0.00402,0.06304
108,1777817773400,Neutral,0.33399,0.03078,0.00665,0.35825,0.1181,0.00153,0.08953,0.32118,0.11105,0.00949,0.41249,0.11736,0.00328,0.07098
109,1777817773466,Neutral,0.33991,0.00853,0.00506,0.34499,0.11817,0.0004,0.09271,0.3268,0.08029,0.00816,0.39224,0.11761,0.00241,0.0775
110,1777817773531,Neutral,0.34244,0.00591,0.00456,0.33651,0.11768,0.00023,0.09252,0.33149,0.05798,0.00708,0.37552,0.11763,0.00176,0.08201
111,1777817773566,Neutral,0.34278,0.00738,0.00498,0.33578,0.11782,0.00036,0.0918,0.33488,0.0428,0.00645,0.3636,0.11768,0.00134,0.08494
112,1777817773634,Neutral,0.34061,0.00951,0.00467,0.33549,0.11767,0.0007,0.09082,0.3366,0.03281,0.00592,0.35517,0.11768,0.00115,0.08671
113,1777817773697,Neutral,0.34225,0.00943,0.00469,0.33392,0.11881,0.00099,0.09019,0.33829,0.0258,0.00555,0.34879,0.11802,0.0011,0.08775
114,1777817773731,Neutral,0.34178,0.00571,0.00456,0.33333,0.11871,0.00117,0.09139,0.33934,0.01977,0.00525,0.34415,0.11823,0.00112,0.08884
115,1777817773764,Neutral,0.33849,0.00181,0.00468,0.33409,0.11922,0.00106,0.0925,0.33908,0.01438,0.00508,0.34113,0.11853,0.0011,0.08994
116,1777817773799,Neutral,0.3249,0.00413,0.00498,0.33467,0.12208,0.00099,0.093,0.33483,0.01131,0.00505,0.3392,0.11959,0.00107,0.09086
117,1777817773868,Neutral,0.27474,0.00796,0.00391,0.33352,0.13212,0.00038,0.09297,0.3168,0.0103,0.00471,0.33749,0.12335,0.00086,0.09149
118,1777817773933,Neutral,0.26803,0.00863,0.00323,0.33378,0.13297,0.00098,0.09202,0.30217,0.0098,0.00426,0.33638,0.12624,0.0009,0.09165
119,1777817773998,Neutral,0.29574,0.00546,0.0017,0.33421,0.1271,0.00218,0.0907,0.30024,0.0085,0.0035,0.33573,0.12649,0.00128,0.09137
120,1777817774032,Neutral,0.3084,0.00455,0.00071,0.33436,0.12466,0.00252,0.09008,0.30269,0.00731,0.00266,0.33532,0.12595,0.00165,0.09098
